sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical
0,RiskFirst_TCN_Empirical,0.3364855946154986,26.2368032282049,7.214057098735458,8.474754853682084,15.0,0.4212893458656742,0.3364855946154986
1,DurationAware_RiskFirst_TCN_Empirical,0.46360591432889314,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.46360591432889314,0.509099017814999
2,DurationAware_RiskFirst_TCN_Empirical,0.2689613771400635,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.2689613771400635,0.5453035989095932
3,DurationAware_RiskFirst_TCN_Empirical,0.24192057016341306,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.24192057016341306,0.46351310838764104
4,DurationAware_RiskFirst_TCN_Empirical,0.22877013243509786,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.22877013243509786,0.354581224171826
5,DurationAware_RiskFirst_TCN_Empirical,0.14309960046548642,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.14309960046548642,0.2942185679190966
6,DurationAware_RiskFirst_TCN_Empirical,0.9468803981090254,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.9468803981090254,1.0949384365163308
7,DurationAware_RiskFirst_TCN_Empirical,0.7889459760354809,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.7889459760354809,1.4855231742735244
8,DurationAware_RiskFirst_TCN_Empirical,0.3053320905053817,48.50658468766646,19.93110318617387,8.647556565024637,11.227272727272727,0.3053320905053817,0.6321973178769685
9,DurationAware_RiskFirst_TCN_Empirical,0.7364178247341641,50.7606406211853,26.04049015045166,8.443650245666504,13.0,0.7364178247341641,0.9627828485813938
10,RiskFirst_TCN_Empirical,0.324106820658714,48.32187080383301,22.034847259521484,8.202948570251465,12.5,0.3394873481947256,0.324106820658714
11,DurationAware_RiskFirst_TCN_Empirical,0.39272471619948873,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.39272471619948873,0.46730926478836016
12,DurationAware_RiskFirst_TCN_Empirical,0.4803001524147214,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.4803001524147214,0.5687310126735119
13,DurationAware_RiskFirst_TCN_Empirical,0.1770797021924514,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.1770797021924514,0.38082653219373513
14,DurationAware_RiskFirst_TCN_Empirical,0.3644488524467033,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.3644488524467033,0.41523024805476816
15,RiskFirst_TCN_Empirical,0.1962827645988243,13.601393526250662,2.183461969549005,6.405566042119807,9.0,0.47022845576291467,0.1962827645988243
16,RiskFirst_TCN_Empirical,1.3894796581135278,35.8451009013436,11.639875455336137,8.259337175976146,16.0,1.6428840461768068,1.3894796581135278
17,DurationAware_RiskFirst_TCN_Empirical,0.08983185748817765,12.317733764648438,2.1877269744873047,4.523502349853516,10.0,0.08983185748817765,0.2300256475290616
18,DurationAware_RiskFirst_TCN_Empirical,0.854842495289222,20.944601492448285,6.604471044106916,6.539106098088351,12.0,0.854842495289222,1.019450539269397
19,RiskFirst_TCN_Empirical,0.4874945839787269,22.103684685447,9.475738270716237,8.001454960216178,15.01136363636364,0.693857591044833,0.4874945839787269
20,DurationAware_RiskFirst_TCN_Empirical,1.2651121346770906,47.59859486059708,12.82247985493053,8.649096022952685,19.28977272727272,1.2651121346770906,1.3443168426565721
21,DurationAware_RiskFirst_TCN_Empirical,1.1390130892654735,63.03106606006622,16.03766231238842,9.265145987272263,24.625,1.1390130892654735,1.4661821017498609
22,DurationAware_RiskFirst_TCN_Empirical,0.5560231021946542,12.363115500320088,2.2029361941597676,5.9859789555723015,9.0,0.5560231021946542,0.6408980961812698
23,DurationAware_RiskFirst_TCN_Empirical,1.3726330714858286,50.12891856106844,13.40313259038058,8.753580917011607,20.43181818181818,1.3726330714858286,1.406612415999656
24,DurationAware_RiskFirst_TCN_Empirical,0.560764723656199,11.406865119934082,1.5831325054168701,5.683885097503662,9.0,0.560764723656199,0.5737614216070387
25,DurationAware_RiskFirst_TCN_Empirical,0.5675857140808585,11.406865119934082,1.5831325054168701,5.683885097503662,9.0,0.5675857140808585,0.589470508881279
26,DurationAware_RiskFirst_TCN_Empirical,1.2821689733261772,32.85168496045197,11.228255277330222,8.202719634229487,16.0,1.2821689733261772,1.3513922392636608
