sample_index,selected_method,selected_score,initial_local_score,global_objective
0,RiskFirst_TCN_Empirical,0.13316375464665614,0.13316375464665614,0.027000772449214866
1,extreme_conditioned_gaussian_copula,0.604068593104826,0.1748645265059561,0.027000772449214866
2,DurationAware_RiskFirst_TCN_Empirical,0.17363211849314636,0.17363211849314636,0.027000772449214866
3,targeted_seed47_Expanded_ValSelected_Model_Ensemble,0.058843820776416575,0.058843820776416575,0.027000772449214866
4,targeted_seed45_RiskKNN_Bootstrap_Generator,0.028284906340855443,0.028284906340855443,0.027000772449214866
5,DurationAware_RiskFirst_TCN_Empirical,0.08988168364565173,0.08988168364565173,0.027000772449214866
6,targeted_seed46_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.14475967233071466,0.14475967233071466,0.027000772449214866
7,RiskFirst_TCN_Empirical,0.3758916611019788,0.2982746494455134,0.027000772449214866
8,DurationAware_RiskFirst_TCN_Empirical,0.2016650711078137,0.2016650711078137,0.027000772449214866
9,targeted_seed47_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.19894865529694142,0.19894865529694142,0.027000772449214866
10,targeted_seed46_Conditional_TCN_Risk_Generator,0.07132988471046914,0.07132988471046914,0.027000772449214866
11,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.07396918791640474,0.07396918791640474,0.027000772449214866
12,enhanced_gan,0.2988967377441054,0.2988967377441054,0.027000772449214866
13,targeted_seed45_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.32432503674302776,0.26372415252299475,0.027000772449214866
14,targeted_seed47_Expanded_ValSelected_Model_Ensemble,0.046739623521022705,0.046739623521022705,0.027000772449214866
15,ganfix_Conditional_NormalizingFlow_Risk_Generator,0.44785650157374113,0.44785650157374113,0.027000772449214866
16,RiskFirst_TCN_Empirical,0.41432025625001045,0.41432025625001045,0.027000772449214866
17,DurationAware_RiskFirst_TCN_Empirical,0.3287416242816856,0.3287416242816856,0.027000772449214866
18,RiskFirst_TCN_Empirical,0.16830723579582746,0.16830723579582746,0.027000772449214866
19,RiskFirst_TCN_Empirical,0.4556344548906361,0.4556344548906361,0.027000772449214866
20,targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,0.8884121768703246,0.38726821623512603,0.027000772449214866
